ID-MEMBRO	RELEVANTE	AUTORES	TITULO	ANO	NATUREZA	ITEM
{16}		GOMES, R. A.	Parecerista Ad Hoc do Cadastro de Projeto de Pesquisa intitulado 'PROPOSTA DE INTEGRAÇÃO DA REDE DE ACESSO NÃO-3GPP IEEE 802.11 AO NÚCLEO 5G', de No 2021025614205399, vinculado ao Instituto Federal de Educação, Ciência e Tecnologia de Goiás - Câmpus Formosa	2021			
{16}		GOMES, R. A.	Revisão de artigo - Expressa Extensão	2021			
{16}		GOMES, R. A.	Avaliador de projetos de ensino no Edital N° 12/2021/PROEN/IFG	2021			
{16}		GOMES, R. A.	Avaliador de projetos de pesquisa para o Edital n. 03/2020/PRPG/IFBA	2020			
{16}		GOMES, R. A.	Membro do Comitê de Programa no 7º Encontro Nacional de Computação dos Institutos Federais (ENCompIF)	2020			
{16}		GOMES, R. A.	Membro de comitê de programa em Third International Conference on Applied Informatics (ICAI 2020)	2020			
{16}		GOMES, R. A.	Membro de comitê de programa em Sixth International Symposium on Intelligent Systems Technologies and Applications (ISTA'20)	2020			
{16}		GOMES, R. A.	Revisão de artigo - HOLOS ISSN 1807-1600	2020			
{18}		DE OLIVEIRA, S. B.; FERNANDES, L. C.	Relatório de Avaliação Preliminar de Investigação de Passivo Ambiental	2019			
{12}		SACHO, S. D.; CAMPOS, L. C.; LEANDRO, W. M.; ZANG, J. W.; DA FONSECA-ZANG, W. A.	Resíduos Sólidos Domiciliares: Alternativas para o Rural na Política Nacional de Resíduos Sólidos	2019			
{18}		OLIVEIRA, S. B.	Parecer Técnico Água do Sistema Osmose ? Clínicas de Hemodiálise	2017			
{18}		OLIVEIRA, S. B.	Parecer Técnico referente a caracterização e classificação dos resíduos sólidos oriundos do processo moagem de tomate da planta industrial HEINZ BRASIL S.A, Município de Nerópolis - GO	2017			
{18}		OLIVEIRA, S. B.	Péricia Técnica sobre processo de fabricação de fraldas descatáveis	2017			
{12}		ZANG, J. W.	Dry Fermentation for biogas technology	2017			
{21}		DA FONSECA-ZANG, W. A.	concurso para Professor Titular do DEC, aberto pelo EDITAL No 57/2016-PRH - Hidráulica e Saneamento	2016			
{18}		OLIVEIRA, S. B.; COSTA, O. S.	Parecer Técnico Referente à Comercialização de Mechas de Cabelos Importados	2016			
{18}		OLIVEIRA, S. B.	Parecer Técnico: Complemento ao Estudo de Investigação de Passivo Ambiental do empreendimento São Salvador Alimentos S/A	2015			
{18}		OLIVEIRA, S. B.	Péricia Técnica sobre processo de fabricação de Medicamentos Alopáticos de uso humano	2015			
{18}		OLIVEIRA, S. B.; BARBOSA, D. P.	Ação Declaratória de Inexistência de Infração Administrativa e Débito com Pedido de Antecipação de Tutela	2015			
{18}		OLIVEIRA, S. B.; BARBOSA, D. P.	LAUDO PERICIAL: ação trabalhista - equiparação de função de técnico de saneamento	2015			
{18}		OLIVEIRA, S. B.; BARBOSA, D. P.; COSTA, O. S.	Perícia Judicial: Produção Antecipada de Provas ? Ação de indenização por danos morais e materiais	2015			
{18}		OLIVEIRA, S. B.; BARBOSA, D. P.; COSTA, O. S.	LAUDO PERICIAL Produção antecipada de provas: recobrimento de superfície	2014			
{18}		OLIVEIRA, S. B.; COSTA, O. S.	Produção Antecipada de Provas ? Análise das Propriedades Físico-químicas do material encontrado no Lago Paranoá	2014			
{18}		OLIVEIRA, S. B.	PARECER TÉCNICO REFERENTE ÀS ATIVIDADES DE INDUSTRIALIZAÇÃO DE ÁGUA MINERAL	2013			
{18}		OLIVEIRA, S. B.	PARECER TÉCNICO REFERENTE ÀS ATIVIDADES DE INDUSTRIALIZAÇÃO DE COSMÉTICOS	2013			
{18}		OLIVEIRA, S. B.; COSTA, O. S.	Atividades de Industrialização de Cosméticos (Parecer Técnico)	2013			
{18}		OLIVEIRA, S. B.; COSTA, O. S.; TEXEIRA, L. M.	Perícia Judicial: Produção Antecipada de Provas ? Condutos forçados da PCH	2013			
{18}		OLIVEIRA, S. B.; FERNANDES, I. L.	Perícia Judicial: Ação de Cancelamento e Sustação de Protesto com Pedido de Antecipação de Tutela c/c Danos Morais e Materiais	2013			
{18}		OLIVEIRA, S. B.; PINTO, L. R.	RELATÓRIO DE ESTUDO DE EFICIÊNCIA DA ETE E IMPACTO DE VIZINHANÇA DO EMPREENDIMENTO FRICÓ ALIMENTOS	2013			
{18}		OLIVEIRA, S. B.; PINTO, L. R.	DESCRIÇÃO DO PROCESSO DE GALVANOPLASTIA E TRATAMENTO DE EFLUENTES DA INDUSTRIA METALVIDROS	2013			
{18}		DA COSTA, O. S.; OLIVEIRA, S. B.	Memorial descritivo e de cálculo do projeto do setor de preparação de solução de soda cáustica da Indústria Ceramikalys	2012			
{21}		FONSECA-ZANG, W. A.	CONSOLIDAÇÃO DO PROGRAMA DE MESTRADO EM TECNOLOGIA DE PROCESSOS SUSTENTÁVEIS:AMPLIAR A CAPACIDADE ACADÊMICA E TECNO-LÓGICA INSTALADA E INSTIGAR A PRODUÇÃO QUALIFICADA.	2012			
{21}		FONSECA-ZANG, W. A.	Palestra SIMPEEX IFG	2012			
{18}		OLIVEIRA, S. B.; COSTA, O. S.; CAVALCANTE, L. H.	RELATÓRIO TÉCNICO OTIMIZAÇÃO DO SISTEMA DE PINTURA DE ESQUADRIA METÁLICA AÇO NOBRE	2012			
