ANO	RELEVANTE	DOI	AUTORES	TITULO	REVISTA	PAGINAS	VOLUME	NUMERO	ISSN	item	QUALIS	QUALIS-SIMILAR
2022			SILVA, C. F. A.; ALVARADO, S. T.; DOS SANTOS, A. M.; ANDRADE, M. O.	Highway Network and Fire Occurrence in Amazonian Indigenous Lands	Sustainability	1-18	14		20711050		A2		
2021		http://dx.doi.org/10.24084/repqj19.272	BENCHIMOL, D. G. N. M.; DOMINGOS, J. L.; ALVES, A.	Wind Action Analysis on Different Structures of Photovoltaic Systems Installed on Flat Rooftops of Buildings	RENEWABLE ENERGY  POWER QUALITY JOURNAL (REPQJ)	263-268	19		2172038X		Qualis nao identificado	RENEWABLE ENERGY  POWER QUALITY JOURNAL (REPQJ)	
2021		http://dx.doi.org/10.1016/j.nexus.2021.100009	BERI, K. Y. V.; BARBOSA, D. P.; ZBAIR, M.; OJALA, S.; DE OLIVEIRA, S. B.	Adsorption of Estradiol from aqueous solution by hydrothermally carbonized and steam activated palm kernel shells	Energy Nexus	100009-	1		27724271		Qualis nao identificado	Energy Nexus	
2021		http://dx.doi.org/10.3390/s21092935	BETTIOL, G. M.; FERREIRA, M. E.; MOTTA, L. P.; CREMON, E. H.; SANO, E. E.	Conformity of the NASADEM_HGT and ALOS AW3D30 DEM with the Altitude from the Brazilian Geodetic Reference Stations: A Case Study from Brazilian Cerrado	SENSORS	2935-	21		14248220		A2		
2021		http://dx.doi.org/10.1021/acs.iecr.1c02831	BRITTO, J. M.; REBOUCAS, M.; DE OLIVEIRA, S. B.; RABELO, D.; RANGEL, M. D. C.	Optimization of Phenol Removal from Industrial Petrochemical Wastewaters by Doehlert Matrix and Factorial Designs	INDUSTRIAL  ENGINEERING CHEMISTRY RESEARCH	acs.iecr.1c02831-11	112		08885885		A1		
2021		http://dx.doi.org/10.1016/J.RSER.2020.110554	COUTO, L. C.; CAMPOS, L. C.; DA FONSECA-ZANG, W.; ZANG, J. W.; BLEISCHWITZ, R.	Water, waste, energy and food nexus in Brazil: Identifying a resource interlinkage research agenda through a systematic review	RENEWABLE  SUSTAINABLE ENERGY REVIEWS	110554-110572	138		13640321		A1		
2021		http://dx.doi.org/10.46814/lajdv3n4-075	COLTRO, M. C. R. C.; DA FONSECA-ZANG, W. A.; ZANG, J. W.; SOUSA, D. C. S. E.	Síntese, caracterização e estabilidade de nanopartículas de magnetita	Latin American Journal of Development	2738-2749	3		26749297		C		
2021		http://dx.doi.org/10.1016/j.geoderma.2021.115315	CREMON, E. H.; PEREIRA, A. C.; DE PAULA, L. D.; NUNES, E. D.	Geological and terrain attributes for predicting soil classes using pixel- and geographic object-based image analysis in the Brazilian Cerrado	GEODERMA	115315-	401		00167061		A1		
2021		http://dx.doi.org/10.34179/revisem.v6i3.14144	DA FONSECA, R. C. B.; VAZ, D. A. F.; VASQUEZ, J. C. S.	MÉTODO ALTERNATIVO PARA A REDUÇÃO DO GRAU DOS POLINÔMIOS PALINDRÔMICOS DE COM COEFICIENTES REAIS	REVISTA SERGIPANA DE MATEMÁTICA E EDUCAÇÃO MATEMÁTICA	1-11	6		25255444		A4		
2021			DE ALMEIDA, M. C.; DE SA, F. P.; PEREIRA, J.; DE OLIVEIRA, T. F.	Adsorption of diethyl phthalate (DEP) on activated carbon (AC) from green coconut shell: physical-chemical characterization and influence of operational parameters	RESEARCH, SOCIETY AND DEVELOPMENT	1-	10		25253409		C		
2021			DE CAMPOS, C. I.; DOS SANTOS, A. M.; ZULUAGA, R. A. G.	I Encontro Nacional Virtual de Estudantes de Engenharia de Transportes: Do distanciamento físico à aproximação virtual entre os cursos e a comunidade	INTERFACES - REVISTA DE EXTENSÃO DA UFMG	431-448	9		23182326		B3		
2021		http://dx.doi.org/10.1016/j.jlumin.2020.117730	DE OLIVEIRA, L. N.; DO NASCIMENTO, E. O.; CALDAS, L. V.	New Fricke Xylenol Liquid detector doped with methylene blue (FXL-mblue) irradiated with red LED light	JOURNAL OF LUMINESCENCE	117730-	230		00222313		A2		
2021		http://dx.doi.org/10.1007/s43630-021-00088-w	DE OLIVEIRA, L. N.; DO NASCIMENTO, E. O.; CALDAS, L. V. E.	A new natural detector for irradiations with blue LED light source in photodynamic therapy measurements via UV-Vis spectroscopy	PHOTOCHEMICAL  PHOTOBIOLOGICAL SCIENCES	1381-1395	20		1474905X		A4		
2021		http://dx.doi.org/10.1016/j.apradiso.2021.109598	DE OLIVEIRA, L. N.; DO NASCIMENTO, E. O.; JUNIOR MORAIS, P. A.; ANTONIO, P. L.; CALDAS, L. V.	Evaluation of high-linearity bone radiation detectors exposed to gamma-rays via FTIR measurements	APPLIED RADIATION AND ISOTOPES	109598-	4		09698043		A2		
2021		http://dx.doi.org/10.1016/j.apacoust.2020.107803	DO NASCIMENTO, E. O.; DE OLIVEIRA, F. L.; DE OLIVEIRA, L. N.; ZANNIN, P. H. T.	Noise prediction based on acoustic maps and vehicle fleet composition	APPLIED ACOUSTICS	107803-	174		0003682X		A2		
2021		http://dx.doi.org/10.22481/recuesb.v9i16.919	DOS SANTOS, A. M.	Curricularização da extensão universitária: relato de uma experiência num curso de engenharia de transportes	REVISTA EXTENSÃO  CIDADANIA	136-152	9		23190566		B4		
2021			DOS SANTOS, A. M.	IMPACTO E DISPOSIÇÃO EM DIRIGIR MANUSEANDO CELULAR	Revista Percurso (Online)	109-133	13		21773300		A3		
2021		http://dx.doi.org/10.5902/2447115164814	DOS SANTOS, A. M.; CARVALHO, F. S.; PEREIRA, L. B. F.; BASILIO, D. B.; PEREIRA, B. D. S.	Ensino de ciências a partir da extensão universitária: experiência em engenharia de tráfego	EXPERIÊNCIA - REVISTA CIENTÍFICA DE EXTENSÃO	41-54	7		24471151		B1		
2021		http://dx.doi.org/10.1016/j.jenvman.2021.113020	DOS SANTOS, A. M.; DA SILVA, C. F. A.; JUNIOR ALMEIDA, P.; RUDKE, A. P.; MELO, S.	Deforestation drivers in the Brazilian Amazon: assessing new spatial predictors	JOURNAL OF ENVIRONMENTAL MANAGEMENT	1-	294		03014797		A1		
2021		http://dx.doi.org/10.1016/j.rsase.2021.100570	DOS SANTOS, A. M.; DA SILVA, C. F. A.; RUDKE, A. P.; SOARES, D. O.	Dynamics of active fire data and their relationship with fires in the areas of Regularized Indigenous Lands in the Southern Amazon	Remote Sensing Applications: Society and Environment	1-11	23		23529385		A2		
2021			DOS SANTOS, A. M.; DO NASCIMENTO, E. L. C.; BARBOSA, E. S. R.; HERINGER, R. A.; PIRES, M. A. B.; PEREIRA, B. D. S.	ANÁLISE DAS UNIDADES DE CONSERVAÇÃO NO MUNICÍPIO DE APARECIDA DE GOIÂNIA: RELATO DE UMA EXPERIÊNCIA DE EXTENSÃO UNIVERSITÁRIA	Participação. Revista do Decanato de Extensão da Universidade de Brasília	97-	20		16771893		B3		
2021		http://dx.doi.org/10.5007/2177-5230.2021.e72887	DOS SANTOS, A. M.; NUNES, F. G.	MAPEAMENTO DE COBERTURA E DO USO DA TERRA: Críticas e autocríticas a partir de um estudo de caso na Amazônia brasileira	Geosul	477-495	36		21775230		A2		
2021		http://dx.doi.org/10.1007/s10708-021-10472-9	DOS SANTOS, A. M.; SANTOS, B. R. I.; DA SILVA, C. F. A.; JUNIOR ALMEIDA, P.; FALCAO, V. A.	Spatio-temporal analysis of accident hotspots on federal highways in the state of Goiás, Brazil	GEOJOURNAL	1-10	1		03432521		A3		
2021		http://dx.doi.org/10.35699/2318-2326.2021.19452	DOS SANTOS, A. M.; SOARES, D. O.	GEOTECNOLOGIAS NA REDE EXPERIÊNCIA DE EXTENSÃO UNIVERSITÁRIA ATRAVÉS DE UMA REDE SOCIAL	INTERFACES - REVISTA DE EXTENSÃO DA UFMG	114-141	9		23182326		B3		
2021		http://dx.doi.org/10.5380/ef.v0i20	DOS SANTOS, A. M.; ZULUAGA, R. A. G.; LISITA, A.; LIMA, W. G.; PIRES, M. A. B.	Extensão Universitária como Oportunidade para Qualificação Profissional	EXTENSÃO EM FOCO	116-130	22		23587180		B3		
2021		http://dx.doi.org/10.1016/j.cnsns.2021.106023	FIGUEIREDO, A.; DE CASTRO, M. T.; DA FONSECA, R. C. B.; MATSUSHITA, R. Y.	Using the Lévy sections to reduce risks in the buying strategies and asset sales that value in time	Communications in Nonlinear Science and Numerical Simulation	106023-	104		10075704		A1		
2021		http://dx.doi.org/10.21577/0103-5053.20210038	GOLVEIA, J.; SANTIAGO, M.; SILVA, L.; CAMPOS, L.; SCHIMIDT, F.	Utilization of the Corncob Agro-Industrial Residue as a Potential Adsorbent in the Biosorption of Bisphenol-A	JOURNAL OF THE BRAZILIAN CHEMICAL SOCIETY	1396-1404	32		01035053		A2		
2021		http://dx.doi.org/10.35700/ca.2021.n15.p138-142.3098	GOMES, R. A.	Relato de experiência sobre a inclusão digital em um projeto de extensão com egressos do sistema prisional	CAMINHO ABERTO: REVISTA DE EXTENSÃO DO IFSC	138-142	15		23590599		B4		
2021		http://dx.doi.org/10.3390/w13192744	KULKARNI, I.; ZANG, J. W.; LEANDRO, W. M.; PARIKH, P.; ADLER, A.; ZANG, W. A. F.; CCAMPOS, L.	Closed-Loop Biodigesters on Small-Scale Farms in Low- and Middle-Income Countries: A Review	Water	2744-	13		20734441		A3		
2021		http://dx.doi.org/10.1016/j.jclepro.2021.126861	LIN, H.; BORRION, A.; DA FONSECA-ZANG, W. A.; ZANG, J. W.; LEANDRO, W. M.; CAMPOS, L. C.	Life cycle assessment of a biogas system for cassava processing in Brazil to close the loop in the water-waste-energy-food nexus	JOURNAL OF CLEANER PRODUCTION	126861-	299		09596526		A1		
2021			MAGALHAES, M. L.; FILHO FERREIR, A. L.; DOMINGOS, J. L.; DOMINGUES, E. G.	IDENTIFICATION AND RANKING OF BARRIERS TO THE DEVELOPMENT OF THE PHOTOVOLTAIC MARKET IN BRAZIL	TECNIA - REVISTA DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO IFG	189-219	6		25262130		B1		
2021		http://dx.doi.org/10.21577/1984-6835.20210080	MIYABARA, M. H.; SCHIMIDT, F.; DA FONSECA, R. C. B.	AHP Method: Decision Making for Methodologies for Determining Emerging Contaminants in Surface Water	REVISTA VIRTUAL DE QUÍMICA	1414-1430	13		19846835		B2		
2021		http://dx.doi.org/10.22047/2176-1477/2021.v12i2.1575	MIYABARA, M. H.; SCHIMIDT, F.; DOS SANTOS, A. M.	Revisão sobre Ciência Ambiental e Interdisciplinaridade: Contaminantes Emergentes na Água	REVISTA CIÊNCIAS  IDÉIAS	119-125	12		21761477		A3		
2021		http://dx.doi.org/10.17271/2318847297420213027	MOREIRA, S. J.; ZANG, W. A. F.; BOLINA, C. C.; ROCHA, S. A.; ZANNIN, P. H. T.	Road traffic noise assessment in a hospital area in Umuarama - Brazil	REVISTA NACIONAL DE GERENCIAMENTO DE CIDADES	66-76	9		23188472		A3		
2021			REIS, E. S.; BATISTA, A.; DOS SANTOS, A. M.; DIAS, J. R. L.	Um estudo da produção acadêmica sobre a Escola Família Agrícola no Brasil	REVISTA DE EDUCAÇÃO POPULAR	73-87	20		19827660		A4		
2021		http://dx.doi.org/10.1016/j.jece.2021.106095	RIBEIRO, T. S.; MOURAO, L. C.; SOUZA, G. B.; DIAS, I. M.; ANDRADE, L. A.; SOUZA, P. L.; CARDOZO-FILHO, L.; OLIVEIRA, G. R.; DE OLIVEIRA, S. B.; ALONSO, C. G.	Treatment of hormones in wastewater from the pharmaceutical industry by continuous flow supercritical water technology	JOURNAL OF ENVIRONMENTAL CHEMICAL ENGINEERING	106095-	9		22133437		A2		
2021		http://dx.doi.org/10.1016/j.jtrangeo.2021.102975	RUDKE, A. P.; MARTINS, J. A.; DOS SANTOS, A. M.; SILVA, W. P.; CALDANA, N. F. S.; SOUZA, V. A. S.; ALVES, R. A.; ALBUQUERQUE, T. T. A.	Spatial and socio-economic analysis of public transport systems in large cities: A case study for Belo Horizonte, Brazil	Journal of Transport Geography	1-11	91		09666923		A1		
2021		http://dx.doi.org/10.33448/rsd-v10i8.17567	SALES, P. T. F.; DE SOUZA, K. M.; BEZERRA, A. G.; OJALA, S. A.; DE OLIVEIRA, S. B.; BARA, M. T. F.	Cálculos químicos quânticos e seus usos	RESEARCH, SOCIETY AND DEVELOPMENT	e45910817567-	10		25253409		C		
2021		http://dx.doi.org/10.1002/slct.202102243	SALES, P. T. F.; SOUZA, K. M.; BEZERRA, A. G.; OJALA, S. A.; DE OLIVEIRA, S. B.; SANTOS, P. A.; BARA, M. T. F.	Chemical Reaction: Understanding the Key to the Formation of Carbonaceous Materials from Sucralose	ChemistrySelect	11846-11855	6		23656549		A4		
2021			SILVA, A. G. P.; CREMON, E. H.; BOGGIONE, G. A.; ALVES, F. C.	Integração de imagens Orbitais Ópticas e SAR Com Processamento em Nuvem no Mapeamento da Cobertura da Terra no Cerrado	Revista Geoaraguaia	85-	11		22369716		A3		
2021		http://dx.doi.org/10.1590/s1413-415220190321	SILVA, L. B.; SCHIMDT, F.; DOS SANTOS, A. M.	Ciência ambiental: reflexões sobre o monitoramento de resíduos de agrotóxicos em águas potável, superficial e subterrânea	ENGENHARIA SANITÁRIA E AMBIENTAL (ONLINE)	193-200	26		18094457		A4		
2021		http://dx.doi.org/10.24084/repqj19.208	STAH, A. H. M.; NETO PINHEI, D.; VIDAL, M.; SOUTO, O. C. N.; SILVA, S.; DOMINGUES, E.	Synthetic Series of Electricity Generation through a Photovoltaic System by using Different Panel Temperature Models	RENEWABLE ENERGY  POWER QUALITY JOURNAL (REPQJ)	39-44	19		2172038X		Qualis nao identificado	RENEWABLE ENERGY  POWER QUALITY JOURNAL (REPQJ)	
2021		http://dx.doi.org/10.1080/09593330.2021.1871660	VELDEN, R. V. D.; DA FONSECA-ZANG, W.; ZANG, J. W.; CLYDE-SMITH, D.; LEANDRO, W. M.; PARIKH, P.; BORRION, A.; CAMPOS, L. C.	Closed-loop Organic Waste Management Systems for Family Farmers in Brazil	ENVIRONMENTAL TECHNOLOGY	1-18	11		09593330		A2		
2021		http://dx.doi.org/10.24084/repqj19.209	VIDAL, M.; FARIA, A.; STACH, A. H. M.; NETO PINHEI, D.; PINTO, L. S.; PINHO, A.; DOMINGUES, E.	Quantification of CO2 emission reductions from energy efficiency actions and solar photovoltaic generation at the Federal Institute of Education, Science, and Technology of Goiás	RENEWABLE ENERGY  POWER QUALITY JOURNAL (REPQJ)	45-50	19		2172038X		Qualis nao identificado	RENEWABLE ENERGY  POWER QUALITY JOURNAL (REPQJ)	
2021		http://dx.doi.org/10.3390/catal11020173	YAAH, V. B. K.; OJALA, S.; KHALLOK, H.; LAITINEN, T.; SELENT, M.; ZHAO, H.; SLIZ, R.; DE OLIVEIRA, S. B.	Development and Characterization of Composite Carbon Adsorbents with Photocatalytic Regeneration Ability: Application to Diclofenac Removal from Water	Catalysts	173-195	11		20734344		A4		
2021		http://dx.doi.org/10.1007/s41204-020-00099-5	YAAH, V. B. K.; ZBAIR, M.; DE OLIVEIRA, S. B.; OJALA, S.	Hydrochar-derived adsorbent for the removal of diclofenac from aqueous solution	Nanotechnology for Environmental Engineering	3-12	6		23656379		Qualis nao identificado	Nanotechnology for Environmental Engineering	
2021		http://dx.doi.org/10.46814/lajdv3n4-076	ZANG, J. W.; DA FONSECA-ZANG, W. A.; REIS, S.	Applied Hydrothermal Carbonization	Latin American Journal of Development	2750-2759	3		26749297		C		
2020		http://dx.doi.org/10.1016/j.jclepro.2019.119899	ANTERO, R. V. P.; ALVES, A. C. F.; DE OLIVEIRA, S. B.; OJALA, S. A.; BRUM, S. S.	Challenges and alternatives for the adequacy of hydrothermal carbonization of lignocellulosic biomass in cleaner production systems: A review	JOURNAL OF CLEANER PRODUCTION	119899-	252		09596526		A1		
2020			CALIL, M. M.; DA MOTA, K. M.; DE SA, F. P.; BORGES, E. C. L.	Reaproveitamento de materiais de alumínio eletrocoagulação	REVISTA DE QUÍMICA INDUSTRIAL	37-44	767		0370694X		C		
2020		http://dx.doi.org/10.1080/2150704x.2019.1681597	CREMON, E. H.; DA SILVA, A. M. S.; MONTANHER, O. C.	Estimating the suspended sediment concentration from TM/Landsat-5 images for the Araguaia River - Brazil	Remote Sensing Letters	47-56	11		2150704X		A2		
2020		http://dx.doi.org/10.5004/dwt.2020.25710	DE ALMEIDA, M. C.; DE OLIVEIRA, T. F.; DE SA, F. P.	Elimination of Cancerous Pollutants by an Advanced Oxidative Process and Adsorption in Monosolute Solutions and Mixture in Water	DESALINATION AND WATER TREATMENT (ONLINE)	292-299	191		19443986		A3		
2020		http://dx.doi.org/10.14393/BGJ-v11n2-a2020-53536	DE CARVALHO, H.; NUNES, F. G.; DOS SANTOS, A. M.	SISTEMA DE INFORMAÇÃO GEOGRÁFICA COMO FERRAMENTA DE APOIO AO LICENCIAMENTO AMBIENTAL NO ESTADO DE GOIÁS BRASIL	Brazilian Geopraphical Journal:	4-21	11		21792321		A3		
2020		http://dx.doi.org/10.1016/j.jsames.2020.102664	DE MORAIS, E. S.; CREMON, E. H.; DOS SANTOS, M. L.; ROCHA, P. C.	Late Pleistocene-Holocene landscape evolution in the lower Peixe river, Brazil: A meandering river valley	JOURNAL OF SOUTH AMERICAN EARTH SCIENCES	102664-	102		08959811		A2		
2020			DE OLIVEIRA, A. C. B. B.; BATISTA, A. E. R.; LEANDRO, W. M.; ZANG, W. A. F.	Trabalho em rede para a territorialização da agroecologia no Centro Oeste	Cadernos de Agroecologia	1-5	15		22367934		B1		
2020			DE SA, F. P.; PEREIRA, A.; GOMES, F. B.; BORGES, E. C. L.	Fotodescoloração dos corantes alimentícios vermelho eritrosina e azul brilhante por fotólise direta	Brazilian Journal of Development	46707-46718	6		25258761		C		
2020		http://dx.doi.org/10.33053/cataventos.v12i1.209	DE SOUSA, J. P. B.; DE FREITAS, J. H.; FELIPE, J. A.; BORGES, L. F.; DOS SANTOS, A. M.; GALO, N. R.	TRÂNSITO E EDUCAÇÃO: RELATO DE UMA EXPERIÊNCIA NO ENSINO FUNDAMENTAL, NO MUNICÍPIO DE APARECIDA DE GOIÂNIA, GOIÁS	CATAVENTOS	37-53	12		21764867		B3		
2020		http://dx.doi.org/10.33360/RGN.2318-2695.2020.i1	DE SOUZA, J. R. B.; NUNES, F. G.; DOS SANTOS, A. M.	ANÁLISE DA CONFIGURAÇÃO ESPACIAL DAS ÁREAS VERDES URBANAS E DOS CORREDORES ECOLÓGICOS NO MUNICÍPIO DE GOIÂNIA - GO	REVISTA GEONORDESTE	168-187	1		23182695		A2		
2020		http://dx.doi.org/10.34069/ai/2020.34.10.9	DOS SANTOS, A. M.; ALMEIDA, C. F.; SOARES, D. O.; DA SILVA, C. F. A.	Identification of Development Poles on Brazilian Amazon Region and Analysis of the Geographic Accessibility	AMAZONIA INVESTIGA	85-101	9		23226307		B3		
2020			DOS SANTOS, A. M.; DE OLIVEIRA, B. S.; NUNES, F. G.	Análise espacial dos acidentes de trânsito em rodovias federais no Estado de Goiás ? Brasil	CONFINS (PARIS)	1-20	48		19589212		A1		
2020		http://dx.doi.org/10.5212/Rev.Conexao.v.16.14160.016	DOS SANTOS, A. M.; FRANCO, T. F.; FARIAS, T. S. S.; DE SOUZA, D. L. L.	-APRENDER FAZENDO- CARTOGRAFIAS: RELATOS DE EXPERIÊNCIA ATRAVÉS DA EXTENSÃO UNIVERSITÁRIA	REVISTA CONEXÃO UEPG	1-13	16		22387315		A3		
2020		http://dx.doi.org/10.15210/ee.v25i3.17957	DOS SANTOS, A. M.; FRANCO, T. F.; FLAVIO, G. S.	RELATO DAS EXPERIÊNCIAS PEDAGÓGICAS EM CARTOGRAFIA DIGITAL NO ENSINO MÉDIO ATRAVÉS DA EXTENSÃO UNIVERSITÁRIA	EXPRESSA EXTENSÃO	5-	25		23588195		B3		
2020			DOS SANTOS, A. M.; KOZEL, S.	Cartografiascomo denúncia: as Ameaças às Terras Indígenas no Estado de Rondônia	Revista GEOgrafias	31-53	26		2237549X		A2		
2020			DOS SANTOS, T. R.; VALENTE, A. F.; LEANDRO, W. M.; ZANG, W. A. F.; DA SILVA, M. C.	'Vermicompostagem enriquecida com Remineralizadores de Kamafugito na cultura de brócolis (Brassica oleracea L.)'.	Cadernos de Agroecologia	1-	15		22367933		Qualis nao identificado	Cadernos de Agroecologia	
2020		http://dx.doi.org/10.24084/repqj18.304	FARIA, V. R.; MAGALHAES, M.; NETO PINHEI, D.; DOMINGUES, E.	Economic Viability of Business models for Photovoltaic solar generation in Brazil: Studies of cases	RENEWABLE ENERGY  POWER QUALITY JOURNAL (REPQJ)	292-297	18		2172038X		Qualis nao identificado	RENEWABLE ENERGY  POWER QUALITY JOURNAL (REPQJ)	
2020		http://dx.doi.org/10.21577/0103-5053.20200102	GOLVEIA, J. C. S.; BARA, M. T. F.; SANTIAGO, M. F.; CAMPOS, L. C.; SCHIMIDT, F.	Cocoa Agro-Industrial Residue (Theobroma cacao) as Inducer of the Production of Fungal Laccase and Kojic Acid for Application in the Biodegradation of 17-#945;-Ethinylestradiol	JOURNAL OF THE BRAZILIAN CHEMICAL SOCIETY	2023-2029	31		01035053		A2		
2020		http://dx.doi.org/10.5120/ijca2020920874	GOMES, R. A.; RODRIGUES, G.; LOBO, G.	A Cloud Service Broker for Cost Effective Infrastructure Selection using Multiple Deployment Options	INTERNATIONAL JOURNAL OF COMPUTER APPLICATIONS	1-8	175		09758887		C		
