ID-MEMBRO	RELEVANTE	DOI	AUTORES	TITULO	LIVRO	EDICAO	EDITORA	ANO	VOLUME	PAGINAS	ITEM
{12}		10.51859/amplla.aca426.1122-7	ABRAO, A. L. S.; MARTINS, M.; ZANG, J. W.; PEREIRA, D.; SOUZA, A.	POTENCIAL DE CODIGESTÃO PARA O BIODIGESTOR DO IFTM ? CAMPUS UBERABA	POTENCIAL DE CODIGESTÃO PARA O BIODIGESTOR DO IFTM ? CAMPUS UBERABA	1	Amplla	2022	2	83-99		
{14}		10.56238/tfisdwv1-079	FERNANDES, J. E. S.; BELCHIOR, F. N.; DOMINGOS, J. L.	Challenges to the sustained insertion of distributed photovoltaic generation in Brazil	THEMES FOCUSED ON INTERDISCIPLINARITY AND SUSTAINABLE DEVELOPMENT WORLDWIDE	1	Seven Publicações Ltda	2022	1	909-911		
{2, 14}		10.22533/at.ed.2702211116	FURTADO, B. C.; ALVES, A. J.; MARTINS, A. M.; DOMINGOS, J. L.	ANÁLISE DA QUALIDADE DE ENERGIA ELÉTRICA NO IFG - CAMPUS GOIÂNIA, A PARTIR DE RETROFIT DE ILUMINAÇÃO	Análise da Qualidade de Energia Elétrica no IFG - Campus Goiânia a partir de retrofit  de iluminação	1	Atena Editora	2022	1	72-90		
{14}		10.36229/978-65-5866-179-5	LIMA, V. R.; BELCHIOR, F. N.; FERNANDES, J. E. S.; DOMINGOS, J. L.	Viabilidade econômica de sistemas fotovoltaicos de acordo com as alternativas propostas pela ANEEL	Engenharia, Gestão e Inovação	1	Poisson	2022	1	125-144		
{21}		10.37423/220906612	MENEZES, M. P.; ZANG, J. W.; DA FONSECA-ZANG, W. A.; DE FREITAS, R. A.; OLIVEIRA, C. B. A.; DA CUNHA, C. E.; TEIXEIRA, L. S. M.	HIDROCARVÃO DE VINHAÇA E TORTA DE FILTRO COMO CONDICIONADOR DE SOLO - HYDROCHAR FROM VINASSE AND FILTER CAKE AS SOIL CONDITIONER	Tópicos em ciências do solo	1a	Editora Conhecimento Livre, 2022	2022		108-128		
{1}		10.55328/edpan.978-65-84794-00-9_001	SANTOS, A. M. D.; SILVA, C. F. A.	As sociedades tradicionais indígenas e a conservação dos recursos naturais no estado de Rondônia	Do Caburaí ao Chuí: sociedades tradicionais do Brasil	1	PANARO	2022	1	11-21		
{1}			BORGES, L. F.; FELIPE, J. A.; SOUSA, J. P. B.; SANTOS, A. M. D.	ATIVIDADES DE EDUCAÇÃO PARA O TRÂNSITO	AÇÕES NA ESCOLA PARA EDUCAÇÃO E SEGURANÇA NO TRÂNSITO	1	UFG os autores	2021	1	37-46		
{1}			CAMPOS, C. I.; ZULUAGA, R. A. G.; SANTOS, A. M. D.	ENSAIO VISUAL ?EDUCAÇÃO PARA O TRÂNSITO?	AÇÕES NA ESCOLA PARA EDUCAÇÃO E SEGURANÇA NO TRÂNSITO	1	UFG os autores	2021		114-123		
{1}		10.4322/mp.978-65-991393-8-3.c1	DOS SANTOS, A. M.; NUNES, F. G.; SANTOS, R. L.	Sensoriamento remoto aplicado ao estudo de densidade demográfica	Geografia por sensoriamento remoto	1	Mérida Publishers	2021		8-22		
{12, 21}		10.22533/at.ed.75521131216	DUARTE, S. S.; DA FONSECA-ZANG, W. A.; ZANG, J. W.; LEANDRO, W. M.; CAMPOS, L.	A EXPÊRIENCIA DA LOJA DA AGRICULTURA FAMILIAR NAS ESTRATÉGIAS DE COMERCIALIZAÇÃO PARA O SETOR EM GOIÂNIA-GO	Investigação científica, teoria e prática da educação na contemporaneidade 4	4	Atena	2021		187-199		
{16}		10.22533/at.ed.37321230211	GOMES, R. A.; LIMA, V. M.; FERNANDES, A. B. M.; DE SOUZA, C. L. S.	PROJETO E IMPLEMENTAÇÃO DE UMA SOLUÇÃO DE BAIXO CUSTO PARA GERENCIAMENTO DO CONSUMO RESIDENCIAL DE ENERGIA	Engenharia Elétrica: Comunicação Integrada no Universo da Energia	1	Atena Editora	2021		119-130		
{2, 14}			MENDES, B. E. S.; DOMINGOS, J. L.; ALVES, A. J.; VIAJANTE, G. P.	MELHORIA DA EFICIÊNCIA ENERGÉTICA DE UM SISTEMA DE GERAÇÃO FOTOVOLTAICA POR MEIO DE ARREFECIMENTO DE PAINÉIS SOLARES COM SUPERVISÃO ONLINE	Engenharia 4.0: a era da produção inteligente	1	Editora Pascal	2021		126-146		
{12, 21}		10.22533/at.ed.0782112075	SACHO, S. D.; MOREIRA, L. P.; LEANDRO, W. M.; DOS SANTOS, S. F.; ZANG, W. A. F.; ZANG, J. W.	GÊNERO E AGROECOLOGIA ¿ COMPARTILHANDO EXPERIÊNCIAS DO CENTRO VOCACIONAL TECNOLOGICO APINAJÉ COM AS GUERREIRAS DE CANUDOS	Responsabilidade social, produção e meio ambiente nas ciências agrárias	1	Atena Editora	2021		44-50		
{1}			SANTOS, A. M. D.; CAMPOS, L. R.	ABORDAGEM INTEGRADA ?EDUCAÇÃO PARA O TRÂNSITO?	AÇÕES NA ESCOLA PARA EDUCAÇÃO E SEGURANÇA NO TRÂNSITO	1	UFG os autores	2021		99-112		
{1}			SANTOS, A. M. D.; CAMPOS, L. R.; CAMPOS, C. I.	EXTENSÃO UNIVERSITÁRIA NAS ESCOLAS	AÇÕES NA ESCOLA PARA EDUCAÇÃO E SEGURANÇA NO TRÂNSITO	1	Alex	2021	1	26-34		
{1}			SANTOS, A. M. D.; FILHO BUEN, A. C.; SILVA, B. P.; PESSONI, H. R.; NASCIMENTO, M. P. C.	DIAGNÓSTICO SOBRE O ENSINO PARA O TRÂNSITO	AÇÕES NA ESCOLA PARA EDUCAÇÃO E SEGURANÇA NO TRÂNSITO	1	Alex independente	2021	1	88-95		
{1}			SANTOS, A. M. D.; ZULUAGA, R. A. G.	AS CRIANÇAS, OS JOVENS E O TRÂNSITO	AÇÕES NA ESCOLA PARA EDUCAÇÃO E SEGURANÇA NO TRÂNSITO	1	UFG os autores	2021	1	48-60		
{8}			SCHIMIDT, F.	Modelagem de oxigênio dissolvido em água de rio por meio de Redes Neurais Artificiais e Simulação de Monte Carlo	Cognoscere: cadernos temáticos de pesquisa do IFG: Meio ambiente e desenvolvimento sustentável	1	Editora IFG	2021	1	23-32		
{18}			DE OLIVEIRA, S. B.; SALES, P. T. F.; OJALA, S. A.; KEISKI, R.; BOTTLINGER, M.; BARBOSA, D. P.; CHAGAS, R. P.; MAKI-ARVELA, P.; ALONSO, C. G.; FILHO CARDOS, L.; FARIA, H. G. M.; YAAH, V. B. K.; PARADA, G. F. J.; BARA, M. T. F.; RIBEIRO, T. S. S.; MOURAO, L. C.; SOUZA, G. B. M.; SOUZA, P. L. M.; SOUZA, K. M.; TEIXEIRA, R. P.	ICFUTURE2020 Book of Abstracts	Book of Abstracts ICFUTURE2020 ?International Conference on Imaging and Characterization ?Future Technologies and Applications	1	UNIVERSITY OF OULU, FINLAND	2020	1	1-129		
{16}		10.37885/201101967	GOMES, R. A.; RODRIGUES, G. S. C. V.; LOBO, G. V. G.; DOS SANTOS, J. A.	SELEÇÃO DE RECURSOS DE INFRAESTRUTURA CONSIDERANDO DIFERENTES OPÇÕES DE IMPLANTAÇÃO	Ciência da Computação: Tecnologias Emergentes em Computação	1	Editora Científica Digital	2020		149-162		
{7}		10.22533/at.ed.08520300920	KURAMOTO, L. L.; DE SA, F. P.; BORGES, E. C. L.; DA SILVA, M. A. L. A.	O REAPROVEITAMENTO DE RESÍDUOS SÓLIDOS ORGÂNICOS PARA GERAÇÃO DE ENERGIA TÉRMICA A PARTIR DA BIODIGESTÃO AERÓBIA	Sustentabilidade: A Superação de Desafios para a Manutenção do Sistema	1	Atena Editora	2020		245-256		
{18}			PACHECO, R. V.; SALES, P. T. F.; DE OLIVEIRA, S. B.; BRUM, S. S.	Remoção de contaminantes emergentes por adsorventes à base de materiais carbonáceos obtidos via carbonização hidrotermal	Ambiente em Foco, Formação de professores, Tecnologias e Sustentabilidade	1	Kelps	2020	1	70-91		
{7}			SA, F. P.; PEREIRA, A.; GOMES, F. B.; BORGES, E. C. L.	FOTODESCOLORAÇÃO DOS CORANTES ALIMENTÍCIOS VERMELHO ERITROSINA E AZUL BRILHANTE POR FOTÓLISE DIRETA	Os Impactos de Estudos Voltados para as Ciências Exatas	1	Brazilian Journals Editora	2020		445-456		
{14}		10.37885/200901253	VELLOSO, E. J. F.; BELCHIOR, F. N.; DOMINGOS, J. L.; DE SOUZA, D. A. S.; DE FARIA, A. F.	EFICIÊNCIA ENERGÉTICA EM EMPRESAS DE SANEAMENTO ESTUDO DE CASO DA COMPANHIA DE SANEAMENTO DE GOIÁS S/A - SANEAGO.:	Engenharia de Produção: tecnologia e inovação no setor produtivo	1	Editora Científica Digital	2020	1	99-116		
{21}			DA SILVA, V. B.; BLIMA, J. T. F.; BATISTA, R. P.; LEANDRO, W. M.; DA FONSECA-ZANG, W. A.	Participação da juventude da Escola Familia Agricola de Orizona em sistemas agroecológicos.	Agroecologia em foco, Volume 1	1	Poisson	2019		89-93		
{2, 14}		10.29388/978-85-53111-68-8-0-f.249-266	FERREIRA, L. G. G. B.; DOMINGOS, J. L.; ALVES, A. J.	Estudo sobre as ações do vento em sistemas fotovoltaicos instalados em coberturas de edificações	Fontes renováveis de energia: inovações, impactos e desafios	1	Navegando Publicações	2019		249-266		
{22}		10.22533/at.ed.9471915036	GANZAROLI, C. A.; DE CARVALHO, D. F.; DO COUTO, L. A.; DIAS, R. N. H. M.; CALIXTO, W. P.	IMPLEMENTAÇÃO DE UMA TÉCNICA DE CONTROLE PREDITIVO NÃO LINEAR PRÁTICA NO ACIONAMENTO DE UM MOTOR CC	Impactos das Tecnologias nas Engenharias 4	1	Antonella Carvalho de Oliveira	2019		42-54		
{14}		10.29388/978-85-53111-68-8-0-f.53-68	MARTINS, A. M.; MEDEIROS, C. A. G.; DOMINGOS, J. L.	Utilização de sistemas fotovoltaicos conectados à rede como forma de reduzir picos de demanda: estudo de caso no IFG Campus Goiânia	Fontes renováveis de energia: inovações, impactos e desafios	1	Navegando Publicações	2019		53-68		
{4}		10.29388/978-85-53111-68-8-0-f.69-94	STACH, A. H. M.; COSTA, A. N.; MEDEIROS, G. P.; NETO PINHEI, D.; DOMINGUES, E. G.	Aproveitamento do biogás de aterro sanitário: análise de viabilidade econômica de alternativas tecnológicas de geração de eletricidade	Fontes renováveis de energia: inovações, impactos e desafios	1	Navegando Publicações	2019		69-94		
{1}			ANDRADE, V. H.; CREMONESE, E. R.; GUIDELLI, A. C.; DINATO, B.; SANTOS, A. M. D.	Mapeamento de conflitos de uso do zoneamento socioeconômico ecológico no município de São Miguel do Guaporé	Estudos Ambientais em Território Amazônico sob a perspectiva da Engenharia Ambiental	1	Appris	2018		139-156		
{16}		10.1007/978-3-319-94370-1_6	GOMES, R.; BOULOUKAKIS, G.; COSTA, F.; GEORGANTAS, N.; DA ROCHA, R.	QoS-Aware Resource Allocation for Mobile IoT Pub/Sub Systems	Lecture Notes in Computer Science	1	Springer International Publishing	2018		70-87		
{8}			LOPES, J. C. A.; SCHIMIDT, F.	Modelagem de dados ambientais utilizando redes neurais artificiais	Cadernos Em.formação Destaques 2016/2017	1	Editora do IFG	2018		69-79		
{1}			RUDKE, A. P.; SANTOS, A. M. D.	Estudo comparativo de dois métodos para cálculo de densidade demográfica na Amazônia Ocidental	Estudos Ambientais em Território Amazônico sob a Perspectiva da Engenharia Ambiental	1	Aprris	2018	1	156-165		
{1}		10.24824/978854441895.6	SANTOS, A. M. D.; PEREIRA, W. A.; LOCATELI, M.	TRANSFORMAÇÕES NO ESPAÇO RONDONIENSE E OS IMPACTOS AMBIENTAIS SOBRE OS PARQUES ESTADUAIS	TRANSFORMAÇÃO ESPACIAL: construção do espaço geográfico	1	CRV	2018		111-131		
{12}		10.1007/978-981-13-0253-4_5	STINNER, P. W.; DEUKER, A.; SCHMALFUSS, T.; BROCK, C.; RENSBERG, N.; DENYSENKO, V.; TRAINER, P.; MOLLER, K.; ZANG, J.; JANKE, L.; LEANDRO, W. M.; OEHMICHEN, K.; POPP, D.; DANIEL-GROMKE, J.	Perennial and Intercrop Legumes as Energy Crops for Biogas Production	Legumes for Soil Health and Sustainable Management	1	Springer Singapore	2018		139-171		
{22}			CAMPOS, P. H. M.; BRAGA, A. O.; TSU, M. A. A. O.; GOMES, V. M.; CALIXTO, W. P.	Contador de fluxo digital para a coleta de dados estatísticos em bibliotecas: simulação por sistemas a eventos discretos	Em.formação: Cadernos de Inicação Científica e Tecnológica do IFG, Destaques 2015/2016	3	Editora IFG	2017		51-66		
{22}			FILHO OLIVEIR, R. M.; CUNHA, L. L. P.; KLAFKE, M.; GOMES, V. M.; CALIXTO, W. P.	Desenvolvimento de aparato para mensurar tempo de reação motora	Em.formação: Cadernos de Inicação Científica e Tecnológica do IFG, Destaques 2015/2016	3	Editora IFG	2017		67-80		
{8}			DA COSTA, A. L. F.; SCHIMIDT, F.	Sensor multivariado para a identificação de compostos orgânicos	Em.formação: cadernos de iniciação científica e tecnológica do IFG	1	Editora IFG	2015		14-25		
{18, 12, 21}			DE FREITAS, R. A.; JR, A. F. L.; ZANG, J. W.; DA FONSECA-ZANG, W. A.; DE OLIVEIRA, S. B.; LEANDRO, W. M.; TEIXEIRA, L. S. M.	Potential biomethane recovery from the Brazilian ethanol residues.	Potential  biomethane  recovery  from  the  Brazilian ethanol  residues.	1	UNESCO Chair of Eremology, Ghent University and of the International  Centre of Eremology (ICE), Ghe	2015	1	35-42		
{12, 21}			KIRCHER, M.; ZANG, J. W.; DA FONSECA-ZANG, W. A.; LEANDRO, W. M.	How to link modern agriculture and sustainable industrial production.	How to  link  modern  agriculture and  sustainable  industrial  production.	1	UNESCO Chair of Eremology, Ghent University and of the International  Centre of Eremology (ICE), Ghe	2015	1	153-158		
{12, 21}			MENEZES, M. P.; ZANG, J. W.; DA FONSECA-ZANG, W. A.; LEANDRO, W. M.; DA CUNHA, C. E.; SACK, S.; DE OLIVEIRA, S. B.; TEIXEIRA, L. S. M.	Hydrochar as a soil conditioner in ecological agriculture: waste recovery from the Brazilian ethanol industry.	Hydrochar as a soil conditioner in ecological agriculture: waste recovery  from  the  Brazilian  ethanol  industry.	1	UNESCO Chair of Eremology, Ghent University and of the International  Centre of Eremology (ICE), Ghe	2015	1	159-165		
{12, 21}			OLIVEIRA, C. B. A.; DA FONSECA-ZANG, W. A.; DE ALMEIDA, S.; ZANG, J. W.; MENEZES, M. P.; TEIXEIRA, L. S. M.; LEANDRO, W. M.	Cold vapor atomic absorption spectrophotometry (CV-AAS) following different acid extraction procedures applied to mercury determination in biofertilizers from industrial sludge	Cold  vapor  atomic  absorption  spectrophotometry  (CV-AAS)  following  different acid extraction procedures applied to mercury determination in  biofertilizers from industrial sludge	1	UNESCO Chair of Eremology, Ghent University and of the International  Centre of Eremology (ICE), Ghe	2015	1	143-152		
{22}			JUNIOR CASTRO, A. P.; FRANCO, B. F.; CALIXTO, W. P.	Gestão da Informação em Grandes Volumes de Dados no Poder Judiciário	Gestão da Informação, Cooperação em Redes e Competitividade	1	Universidade do Porto/Coletânea Luso-Brasileira	2014		61-78		
